,title,studio,year,domestic_gross,foreign_gross,total_gross
285,"Lovely, Still",Mont.,2010,128000,106000,234000
286,The Girl (Flickan),Olive,2010,2200,229000,231200
287,Sweetgrass,CGld,2010,207000,0,207000
288,Bitch Slap,Free,2010,17400,182000,199400
289,Chance Pe Dance,UTV,2010,169000,24300,193300
290,Client 9: The Rise and Fall of Eliot Spitzer,Magn.,2010,189000,3500,192500
291,Casino Jack and the United States of Money,Magn.,2010,177000,0,177000
292,Perrier's Bounty,IFC,2010,800,167000,167800
293,Around a Small Mountain,CGld,2010,33200,131000,164200
294,Spring Fever,Strand,2010,10800,150000,160800
295,The Eclipse,Magn.,2010,133000,26400,159400
296,George A. Romero's Survival of the Dead,Magn.,2010,102000,41500,143500
297,The Romantics,FOAK,2010,107000,17300,124300
299,Freakonomics,Magn.,2010,101000,16400,117400
300,Saint John of Las Vegas,IVP,2010,103000,9100,112100
301,Band Baaja Baaraat,Yash,2010,43800,60700,104500
303,Kisses,Osci.,2010,81700,15300,97000
304,Waking Sleeping Beauty,BV,2010,80700,4200,84900
305,Enemies of the People,ICir,2010,73200,6400,79600
307,Hadewijch,IFC,2010,5000,57500,62500
308,Alamar,FM,2010,61600,0,61600
309,As Good as Dead,First,2010,2000,53600,55600
310,Inhale,IFC,2010,4100,51000,55100
311,Hatchet 2,Vita.,2010,52600,0,52600
312,District B13: Ultimatum,Magn.,2010,36100,16200,52300
313,GasLand,WOW,2010,30800,18600,49400
314,Boogie Woogie,IFC,2010,2600,44900,47500
315,Come Undone (2010),FM,2010,10000,31300,41300
316,The Red Baron,Mont.,2010,37200,3100,40300
317,Bluebeard,Strand,2010,33500,5200,38700
318,Daddy Longlegs,IFC,2010,21800,11500,33300
319,Living in Emergency,Truly,2010,32200,0,32200
320,Nenette,Kino,2010,18000,5400,23400
321,Picture Me,Strand,2010,12000,10400,22400
322,The Thorn in the Heart,Osci.,2010,7400,10500,17900
323,The Taqwacores,Strand,2010,11400,0,11400
324,Cherry,Abr.,2010,11400,0,11400
325,Terkel in Trouble,Indic.,2010,10800,0,10800
326,Kimjongilia,Lorb.,2010,4400,0,4400
328,Harry Potter and the Deathly Hallows Part 2,WB,2011,381000000,960500000,1341500000
329,Transformers: Dark of the Moon,P/DW,2011,352400000,771400000,1123800000
330,Pirates of the Caribbean: On Stranger Tides,BV,2011,241100000,804600000,1045700000
331,The Twilight Saga: Breaking Dawn Part 1,Sum.,2011,281300000,430900000,712200000
332,Mission: Impossible - Ghost Protocol,Par.,2011,209400000,485300000,694700000
333,Kung Fu Panda 2,P/DW,2011,165200000,500400000,665600000
334,Fast Five,Uni.,2011,209800000,416300000,626100000
335,The Hangover Part II,WB,2011,254500000,332300000,586800000
336,The Smurfs,Sony,2011,142600000,421100000,563700000
337,Cars 2,BV,2011,191500000,370700000,562200000
338,Puss in Boots,P/DW,2011,149300000,405700000,555000000
339,Sherlock Holmes: A Game of Shadows,WB,2011,186800000,358600000,545400000
340,Rio,Fox,2011,143600000,341000000,484600000
341,Rise of the Planet of the Apes,Fox,2011,176800000,305000000,481800000
342,Thor,Par.,2011,181000000,268300000,449300000
343,The Adventures of Tintin,Par.,2011,77600000,296400000,374000000
344,Captain America: The First Avenger,Par.,2011,176700000,193900000,370600000
345,X-Men: First Class,Fox,2011,146400000,207200000,353600000
346,Alvin and the Chipmunks: Chipwrecked,Fox,2011,133100000,209600000,342700000
347,Real Steel,BV,2011,85500000,213800000,299300000
348,Bridesmaids,Uni.,2011,169100000,119300000,288400000
349,Super 8,Par.,2011,127000000,133100000,260100000
350,Rango,Par.,2011,123500000,122200000,245700000
351,The Girl with the Dragon Tattoo (2011),Sony,2011,102500000,130100000,232600000
352,The Green Hornet,Sony,2011,98800000,129000000,227800000
353,Immortals,Rela.,2011,83500000,143400000,226900000
354,Green Lantern,WB,2011,116600000,103300000,219900000
355,The Help,BV,2011,169700000,46900000,216600000
356,Bad Teacher,Sony,2011,100300000,115900000,216200000
357,Just Go With It,Sony,2011,103000000,111900000,214900000
358,Battle: Los Angeles,Sony,2011,83600000,128300000,211900000
359,Horrible Bosses,WB (NL),2011,117500000,92100000,209600000
360,Paranormal Activity 3,Par.,2011,104000000,103000000,207000000
361,Gnomeo and Juliet,BV,2011,100000000,94000000,194000000
362,Mr. Popper's Penguins,Fox,2011,68200000,119100000,187300000
363,Hugo,Par.,2011,73900000,111900000,185800000
364,The Lion King (in 3D),BV,2011,94200000,91300000,185500000
365,Hop,Uni.,2011,108100000,75900000,184000000
